"soil_name","horizon","base_sat"
"chewacla","40_100",42.2857142857143
"saunook","0_10",56
"saunook","10_20",53.3333333333333
"saunook","20_40",42.3333333333333
"saunook","40_100",36.75
"sacul","0_10",43.7142857142857
"sacul","10_20",39.6
"sacul","20_40",37.8571428571429
"sacul","40_100",27.1666666666667
"providence","0_10",60.3333333333333
"providence","10_20",43
"providence","20_40",55.3333333333333
"providence","40_100",48.8571428571429
"helena","0_10",NA
"helena","10_20",NA
"helena","20_40",NA
"helena","40_100",NA
"gwinnett","0_10",22
"gwinnett","10_20",20
"gwinnett","20_40",18
"gwinnett","40_100",16
"woden","0_10",NA
"woden","10_20",NA
"woden","20_40",NA
"woden","40_100",NA
"angelina","0_10",71
"angelina","10_20",73
"angelina","20_40",75
"angelina","40_100",69
"toccoa","0_10",55.5
"toccoa","10_20",46.75
"toccoa","20_40",40
"toccoa","40_100",49.6
"bethera","0_10",45
"bethera","10_20",54
"bethera","20_40",63
"bethera","40_100",42
"whiteside","0_10",3
"whiteside","10_20",3
"whiteside","20_40",3
"whiteside","40_100",2
"townley","0_10",58
"townley","10_20",47.5
"townley","20_40",37
"townley","40_100",18
"enon","0_10",47
"enon","10_20",54
"enon","20_40",77.5
"enon","40_100",88
"latonia","0_10",60
"latonia","10_20",67
"latonia","20_40",74
"latonia","40_100",43.6666666666667
"louisburg","0_10",20
"louisburg","10_20",18.5
"louisburg","20_40",17
"louisburg","40_100",24
"mollville","0_10",51.6666666666667
"mollville","10_20",32.5
"mollville","20_40",54
"mollville","40_100",33.5555555555556
"vance","0_10",70
"vance","10_20",72
"vance","20_40",71
"vance","40_100",79
"besner","0_10",20
"besner","10_20",25.5
"besner","20_40",31
"besner","40_100",34.2
"wehadkee","0_10",62.5
"wehadkee","10_20",40
"wehadkee","20_40",63
"wehadkee","40_100",54.3333333333333
"harleston","0_10",47.5
"harleston","10_20",52.75
"harleston","20_40",58
"harleston","40_100",37.6
"chandler","0_10",4
"chandler","10_20",9
"chandler","20_40",23
"chandler","40_100",16.75
"craven","0_10",42.5
"craven","10_20",3
"craven","20_40",16
"craven","40_100",9.8
"wilkes","0_10",54
"wilkes","10_20",51
"wilkes","20_40",72
"wilkes","40_100",100
"kinston","0_10",NA
"kinston","10_20",NA
"kinston","20_40",NA
"kinston","40_100",NA
"plott","0_10",38
"plott","10_20",22.5
"plott","20_40",7
"plott","40_100",6.66666666666667
"unaka","0_10",13
"unaka","10_20",2
"unaka","20_40",2
"unaka","40_100",2
"pantego","0_10",NA
"pantego","10_20",NA
"pantego","20_40",NA
"pantego","40_100",NA
"cullasaja","0_10",32
"cullasaja","10_20",16
"cullasaja","20_40",9.33333333333333
"cullasaja","40_100",19.4285714285714
"glenmora","0_10",96
"glenmora","10_20",69
"glenmora","20_40",42
"glenmora","40_100",20
"benndale","0_10",27
"benndale","10_20",26
"benndale","20_40",25
"benndale","40_100",25.5
"udorthents","0_10",37
"udorthents","10_20",31.5
"udorthents","20_40",26
"udorthents","40_100",27
"toxaway","0_10",24
"toxaway","10_20",16.5
"toxaway","20_40",9
"toxaway","40_100",6.33333333333333
"congaree","0_10",17
"congaree","10_20",17
"congaree","20_40",38.75
"congaree","40_100",60.5
"chestnut","0_10",5
"chestnut","10_20",4.25
"chestnut","20_40",3.5
"chestnut","40_100",3.33333333333333
"clebit","0_10",61
"clebit","10_20",51.5
"clebit","20_40",42
"clebit","40_100",42
"kingsferry","0_10",NA
"kingsferry","10_20",NA
